accuracy,f1,precision,recall
0.9142857142857143,0.9136950904392764,0.9146853146853147,0.9142857142857143
0.9545454545454546,0.9555605684637943,0.961038961038961,0.9545454545454546
0.8571428571428571,0.8539682539682539,0.8604845446950709,0.8571428571428571
0.8260869565217391,0.8295376121463078,0.845484949832776,0.8260869565217391
0.8888888888888888,0.8882758620689656,0.8976157082748948,0.8888888888888888
0.8505747126436781,0.8505352082716077,0.8507206714103266,0.8505747126436781
0.9333333333333333,0.9339366515837104,0.9428571428571428,0.9333333333333333
0.3333333333333333,0.5,1.0,0.3333333333333333
0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
0.92,0.9192207792207792,0.9306666666666666,0.92
0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695
0.8970588235294118,0.8969469066165279,0.8972254987435252,0.8970588235294118
0.9473684210526315,0.9471270708707569,0.9475076580339737,0.9473684210526315
0.9310344827586207,0.9305371352785146,0.9391480730223123,0.9310344827586207
0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9111111111111111
0.9058823529411765,0.9048402577814343,0.9080750579801812,0.9058823529411765
0.9428571428571428,0.9414502164502165,0.9474285714285713,0.9428571428571428
0.872093023255814,0.8719711573462986,0.8720866796077088,0.872093023255814
0.890625,0.8907052850501591,0.8912206744868034,0.890625
0.8636363636363636,0.8628492265065805,0.8721804511278195,0.8636363636363636
0.8314606741573034,0.8296402673975263,0.8384935497295046,0.8314606741573034
0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286
0.8421052631578947,0.8402745995423341,0.843358395989975,0.8421052631578947
1.0,1.0,1.0,1.0
0.9,0.8993431855500822,0.9016666666666667,0.9
0.8762886597938144,0.8762886597938144,0.8762886597938144,0.8762886597938144
0.8554216867469879,0.8524424972617743,0.866623582452415,0.8554216867469879
0.9090909090909091,0.9081717069583601,0.9090909090909091,0.9090909090909091
0.881578947368421,0.8808552286951008,0.8879336124401914,0.881578947368421
1.0,1.0,1.0,1.0
0.8795180722891566,0.8788809763141874,0.8824153757888697,0.8795180722891566
0.9191919191919192,0.9193079275113729,0.9201755691117394,0.9191919191919192
0.9183673469387755,0.9180237751666322,0.9207968901846453,0.9183673469387755
0.8541666666666666,0.8534018065268065,0.8594327420546932,0.8541666666666666
0.9411764705882353,0.9407636738906088,0.9470588235294118,0.9411764705882353
0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
0.9052631578947369,0.905452863441282,0.9074487460888244,0.9052631578947369
0.89,0.8899889988998899,0.89015606242497,0.89
